Job_id,Title,Vacancy URL,Company ID,Published,End_date,Salary Range min,Salary Range max,Location ID,company_id,Company name,Company URL,location_id,City,Region,Country
24,Klientu atbalsta datu analītiķis/-e,https://www.cv.lv/lv/vacancy/988015/printful-latvia-as/klientu-atbalsta-datu-analitikis-e,18,2023-05-16,20.05.2023,1800.0,2300.0,1,18,Printful Latvia AS,https://www.cv.lv/lv/search/employer/printful-latvia-as?employerId=25007&employerName=Printful Latvia AS,1, Rīga, Rīgas rajons,Latvia
25,Financial Analyst,https://www.cv.lv/lv/vacancy/988410/sia-dynatech/financial-analyst,8,2023-04-20,20.05.2023,2700.0,3000.0,1,8,"SIA ""Dynatech""","https://www.cv.lv/lv/search/employer/sia-dynatech?employerId=30946&employerName=SIA ""Dynatech""",1, Rīga, Rīgas rajons,Latvia
26,Business Intelligence Analyst,https://www.cv.lv/lv/vacancy/989047/gocardless/business-intelligence-analyst,19,2023-04-21,21.05.2023,3200.0,3520.0,1,19,GoCardless,https://www.cv.lv/lv/search/employer/gocardless?employerId=66466&employerName=GoCardless,1, Rīga, Rīgas rajons,Latvia
27,Datu analītiķis/-e,https://www.cv.lv/lv/vacancy/997172/latvijas-valsts-mezi-as/datu-analitikis-e,20,2023-05-09,21.05.2023,1698.0,1887.0,1,20,Latvijas valsts meži AS,https://www.cv.lv/lv/search/employer/latvijas-valsts-mezi-as?employerId=8929&employerName=Latvijas valsts meži AS,1, Rīga, Rīgas rajons,Latvia
28,Big Data visualization specialist,https://www.cv.lv/lv/vacancy/988849/accenture/big-data-visualization-specialist,21,2023-05-16,21.05.2023,2625.0,4400.0,1,21,Accenture ,https://www.cv.lv/lv/search/employer/accenture?employerId=19491&employerName=Accenture ,1, Rīga, Rīgas rajons,Latvia
29,Business Analyst (located in Kenya),https://www.cv.lv/lv/vacancy/989221/eleving-group/business-analyst-located-in-kenya,22,2023-04-21,21.05.2023,1800.0,2100.0,4,22,Eleving Group,https://www.cv.lv/lv/search/employer/eleving-group?employerId=21248&employerName=Eleving Group,4,,, Kenija
30,Data Protection Expert (temporary contract),https://www.cv.lv/lv/vacancy/995616/rimi-latvia-sia/data-protection-expert-temporary-contract,23,2023-05-08,21.05.2023,2100.0,2600.0,1,23,RIMI Latvia SIA,https://www.cv.lv/lv/search/employer/rimi-latvia-sia?employerId=29474&employerName=RIMI Latvia SIA,1, Rīga, Rīgas rajons,Latvia
31,Senior Business Analyst,https://www.cv.lv/lv/vacancy/996966/luminor-bank-as-latvijas-filiale/senior-business-analyst,24,2023-05-09,21.05.2023,2800.0,3900.0,1,24,Luminor Bank AS Latvijas filiāle,https://www.cv.lv/lv/search/employer/luminor-bank-as-latvijas-filiale?employerId=29434&employerName=Luminor Bank AS Latvijas filiāle,1, Rīga, Rīgas rajons,Latvia
32,Big Data engineer,https://www.cv.lv/lv/vacancy/988851/accenture/big-data-engineer,21,2023-05-16,21.05.2023,2625.0,4500.0,3,21,Accenture ,https://www.cv.lv/lv/search/employer/accenture?employerId=19491&employerName=Accenture ,3,,,Latvia
33,Business Analyst,https://www.cv.lv/lv/vacancy/996968/luminor-bank-as-latvijas-filiale/business-analyst,24,2023-05-09,21.05.2023,2500.0,3500.0,1,24,Luminor Bank AS Latvijas filiāle,https://www.cv.lv/lv/search/employer/luminor-bank-as-latvijas-filiale?employerId=29434&employerName=Luminor Bank AS Latvijas filiāle,1, Rīga, Rīgas rajons,Latvia
34,DATU IEVADES OPERATORS/-E,https://www.cv.lv/lv/vacancy/995655/cv-online-recruitment/datu-ievades-operators-e,25,2023-05-15,22.05.2023,1120.0,1260.0,1,25,CV-Online Recruitment,https://www.cv.lv/lv/search/employer/cv-online-recruitment?employerId=19188&employerName=CV-Online Recruitment,1, Rīga, Rīgas rajons,Latvia
35,SISTĒMU UN BIZNESA PROCESU ANALĪTIĶIS,https://www.cv.lv/lv/vacancy/996537/valsts-regionalas-attistibas-agentura/sistemu-un-biznesa-procesu-analitikis,26,2023-05-16,22.05.2023,2174.0,,1,26,Valsts reģionālās attīstības aģentūra,https://www.cv.lv/lv/search/employer/valsts-regionalas-attistibas-agentura?employerId=26355&employerName=Valsts reģionālās attīstības aģentūra,1, Rīga, Rīgas rajons,Latvia
36,Ūdensapgādes un kanalizācijas sistēmu inženieris,https://www.cv.lv/lv/vacancy/996597/rigas-namu-parvaldnieks-sia/udensapgades-un-kanalizacijas-sistemu-inzenieris,27,2023-05-08,22.05.2023,1800.0,,1,27,Rīgas namu pārvaldnieks SIA,https://www.cv.lv/lv/search/employer/rigas-namu-parvaldnieks-sia?employerId=27725&employerName=Rīgas namu pārvaldnieks SIA,1, Rīga, Rīgas rajons,Latvia
37,Data Steward,https://www.cv.lv/lv/vacancy/996529/swedbank-as/data-steward,10,2023-05-16,22.05.2023,2400.0,3600.0,1,10,Swedbank AS,https://www.cv.lv/lv/search/employer/swedbank-as?employerId=29215&employerName=Swedbank AS,1, Rīga, Rīgas rajons,Latvia
